strategy,total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,strategy_value,paired_delta
ramp_fixed_4s,800,1:3,5,network_time_spent_s,True,90469.0,86172.0,-4297.0
ramp_fixed_4s,800,1:3,5,insertion_wait_time_s,True,37495.0,23486.0,-14009.0
ramp_fixed_4s,800,1:3,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_6s,800,1:3,5,total_time_spent_s,True,127964.0,131450.0,3486.0
ramp_fixed_6s,800,1:3,5,network_time_spent_s,True,90469.0,96267.0,5798.0
ramp_fixed_6s,800,1:3,5,insertion_wait_time_s,True,37495.0,35183.0,-2312.0
ramp_fixed_6s,800,1:3,5,unfinished_vehicles,True,0.0,3.0,3.0
ramp_fixed_6s,800,1:3,5,throughput_veh_h,False,800.0,794.0,-6.0
ramp_fixed_8s,800,1:3,5,total_time_spent_s,True,127964.0,130835.0,2871.0
ramp_fixed_8s,800,1:3,5,network_time_spent_s,True,90469.0,96286.0,5817.0
ramp_fixed_8s,800,1:3,5,insertion_wait_time_s,True,37495.0,34549.0,-2946.0
ramp_fixed_8s,800,1:3,5,unfinished_vehicles,True,0.0,15.0,15.0
ramp_fixed_8s,800,1:3,5,throughput_veh_h,False,800.0,770.0,-30.0
cooperative_limited,800,1:4,1,total_time_spent_s,True,25288.0,25288.0,0.0
cooperative_limited,800,1:4,1,network_time_spent_s,True,25288.0,25288.0,0.0
cooperative_limited,800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,1,total_time_spent_s,True,25288.0,28034.0,2746.0
ramp_fixed_4s,800,1:4,1,network_time_spent_s,True,25288.0,28034.0,2746.0
ramp_fixed_4s,800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_6s,800,1:4,1,total_time_spent_s,True,25288.0,47520.0,22232.0
ramp_fixed_6s,800,1:4,1,network_time_spent_s,True,25288.0,47520.0,22232.0
